Date,Holi,Temp,Humi,WS,Consumption
2015-09-01 00:00:00,0,24.7,65.9,3.5,1198.8
2015-09-01 01:00:00,0,24.4,65.6,3.9,1113.48
2015-09-01 02:00:00,0,24.1,67.1,3.6,987.84
2015-09-01 03:00:00,0,23.6,67.9,2.4,891.36
2015-09-01 04:00:00,0,23.4,67.9,3.0,845.64
2015-09-01 05:00:00,0,23.1,68.4,2.4,804.6
2015-09-01 06:00:00,0,22.6,72.2,2.9,851.04
2015-09-01 07:00:00,0,22.6,70.8,2.3,968.4
2015-09-01 08:00:00,0,23.0,67.6,3.2,1137.6
2015-09-01 09:00:00,0,23.6,66.0,2.5,1519.2
2015-09-01 10:00:00,0,26.5,54.2,3.6,1628.64
2015-09-01 11:00:00,0,28.1,49.4,3.9,1725.48
2015-09-01 12:00:00,0,29.2,47.6,3.4,1778.04
2015-09-01 13:00:00,0,29.5,46.2,4.5,1759.68
2015-09-01 14:00:00,0,30.5,43.4,3.6,1898.28
2015-09-01 15:00:00,0,29.9,46.7,4.2,1803.6
2015-09-01 16:00:00,0,29.8,46.5,3.9,1807.2
2015-09-01 17:00:00,0,29.0,50.2,3.9,1830.24
2015-09-01 18:00:00,0,28.4,51.9,3.5,1690.2
2015-09-01 19:00:00,0,26.8,56.0,4.4,1528.92
2015-09-01 20:00:00,0,25.9,59.1,3.5,1533.6
2015-09-01 21:00:00,0,25.4,60.2,3.9,1493.64
2015-09-01 22:00:00,0,24.8,62.0,4.1,1439.28
2015-09-01 23:00:00,0,24.4,61.5,2.9,1238.4
2015-09-02 00:00:00,0,24.2,61.6,2.6,1186.56
2015-09-02 01:00:00,0,24.0,61.2,3.4,1095.48
2015-09-02 02:00:00,0,23.5,63.4,2.3,942.84
2015-09-02 03:00:00,0,23.2,67.2,2.1,892.08
2015-09-02 04:00:00,0,23.1,64.7,2.0,833.4
2015-09-02 05:00:00,0,23.1,67.9,2.4,804.24
2015-09-02 06:00:00,0,23.0,72.1,1.4,821.52
2015-09-02 07:00:00,0,23.0,73.0,1.8,946.8
2015-09-02 08:00:00,0,23.5,71.4,1.9,1102.32
2015-09-02 09:00:00,0,24.1,69.9,1.1,1501.56
2015-09-02 10:00:00,0,26.1,64.1,2.9,1591.56
2015-09-02 11:00:00,0,26.1,64.8,3.2,1697.4
2015-09-02 12:00:00,0,26.9,62.6,2.5,1779.12
2015-09-02 13:00:00,0,26.7,64.2,3.0,1744.56
2015-09-02 14:00:00,0,23.2,84.8,4.3,1811.16
2015-09-02 15:00:00,0,24.4,71.3,0.9,1717.56
2015-09-02 16:00:00,0,25.1,73.0,2.2,1686.24
2015-09-02 17:00:00,0,25.6,67.1,1.3,1664.64
2015-09-02 18:00:00,0,24.8,66.8,1.0,1507.32
2015-09-02 19:00:00,0,24.0,76.8,1.2,1372.68
2015-09-02 20:00:00,0,23.4,81.9,3.5,1344.6
2015-09-02 21:00:00,0,23.0,82.9,2.2,1329.84
2015-09-02 22:00:00,0,22.6,86.8,1.2,1294.92
2015-09-02 23:00:00,0,22.3,88.9,1.7,1158.12
2015-09-03 00:00:00,0,22.0,88.5,1.1,1113.12
2015-09-03 01:00:00,0,21.9,87.5,0.1,1025.28
2015-09-03 02:00:00,0,21.8,87.1,1.7,931.32
2015-09-03 03:00:00,0,21.4,91.7,1.7,838.08
2015-09-03 04:00:00,0,20.8,97.4,1.1,800.64
2015-09-03 05:00:00,0,20.3,98.9,1.0,760.32
2015-09-03 06:00:00,0,19.9,99.2,0.6,775.8
2015-09-03 07:00:00,0,20.1,99.3,0.9,858.24
2015-09-03 08:00:00,0,21.3,92.3,0.3,1007.64
2015-09-03 09:00:00,0,22.6,78.9,1.8,1518.48
2015-09-03 10:00:00,0,23.7,65.7,2.5,1604.16
2015-09-03 11:00:00,0,25.5,58.9,2.5,1668.6
2015-09-03 12:00:00,0,25.7,63.0,2.9,1781.64
2015-09-03 13:00:00,0,26.9,56.3,3.4,1753.92
2015-09-03 14:00:00,0,26.6,59.4,3.9,1842.12
2015-09-03 15:00:00,0,27.3,52.6,3.3,1796.4
2015-09-03 16:00:00,0,28.0,51.0,3.1,1767.96
2015-09-03 17:00:00,0,27.4,51.4,4.0,1779.48
2015-09-03 18:00:00,0,27.4,52.7,3.4,1640.16
2015-09-03 19:00:00,0,25.1,74.9,4.0,1395.36
2015-09-03 20:00:00,0,24.2,77.6,2.2,1467.72
2015-09-03 21:00:00,0,23.9,77.7,2.9,1428.12
2015-09-03 22:00:00,0,23.4,80.1,3.4,1397.16
2015-09-03 23:00:00,0,23.1,81.4,2.4,1137.24
2015-09-04 00:00:00,0,22.7,84.0,1.6,1116.72
2015-09-04 01:00:00,0,22.4,83.6,1.8,1047.96
2015-09-04 02:00:00,0,22.1,84.2,2.6,930.96
2015-09-04 03:00:00,0,21.6,84.9,3.0,865.08
2015-09-04 04:00:00,0,21.3,85.0,1.5,813.96
2015-09-04 05:00:00,0,20.9,87.9,1.0,766.08
2015-09-04 06:00:00,0,20.6,89.2,0.4,809.64
2015-09-04 07:00:00,0,20.7,87.4,0.4,915.48
2015-09-04 08:00:00,0,21.9,78.7,1.7,1030.68
2015-09-04 09:00:00,0,23.0,77.0,0.9,1351.08
2015-09-04 10:00:00,0,24.4,67.1,0.6,1413.0
2015-09-04 11:00:00,0,26.5,58.3,1.3,1537.2
2015-09-04 12:00:00,0,27.9,49.4,2.3,1678.32
2015-09-04 13:00:00,0,29.5,44.3,3.3,1646.64
2015-09-04 14:00:00,0,30.3,41.4,4.1,1706.4
2015-09-04 15:00:00,0,29.8,43.9,3.5,1663.56
2015-09-04 16:00:00,0,28.6,51.5,3.9,1591.56
2015-09-04 17:00:00,0,28.9,46.0,3.3,1603.08
2015-09-04 18:00:00,0,27.6,50.4,4.2,1512.36
2015-09-04 19:00:00,0,25.9,63.4,3.5,1347.12
2015-09-04 20:00:00,0,24.9,58.2,3.5,1357.56
2015-09-04 21:00:00,0,24.3,71.0,2.2,1367.28
2015-09-04 22:00:00,0,24.0,78.7,3.1,1283.76
2015-09-04 23:00:00,0,23.8,83.2,2.1,1105.2
2015-09-05 00:00:00,1,23.6,83.3,1.9,1073.88
2015-09-05 01:00:00,1,23.4,83.9,1.0,1018.08
2015-09-05 02:00:00,1,23.3,82.2,0.5,928.44
2015-09-05 03:00:00,1,23.3,80.2,1.1,879.48
2015-09-05 04:00:00,1,23.2,81.7,1.1,812.52
2015-09-05 05:00:00,1,22.9,79.8,0.6,776.88
2015-09-05 06:00:00,1,22.4,82.0,2.4,802.8
2015-09-05 07:00:00,1,22.3,82.1,1.6,868.32
2015-09-05 08:00:00,1,22.8,81.2,2.3,950.4
2015-09-05 09:00:00,1,23.6,78.1,1.7,1251.0
2015-09-05 10:00:00,1,21.6,85.5,5.7,1332.0
2015-09-05 11:00:00,1,19.5,91.0,2.3,1354.32
2015-09-05 12:00:00,1,20.0,90.5,1.0,1412.64
2015-09-05 13:00:00,1,21.0,88.8,2.8,1343.52
2015-09-05 14:00:00,1,21.8,84.9,2.5,1282.68
2015-09-05 15:00:00,1,22.5,78.0,2.3,1199.52
2015-09-05 16:00:00,1,22.8,75.2,2.1,1131.12
2015-09-05 17:00:00,1,22.3,75.7,2.9,1183.32
2015-09-05 18:00:00,1,21.8,77.3,3.2,1195.2
2015-09-05 19:00:00,1,21.4,74.3,3.2,1160.28
2015-09-05 20:00:00,1,21.2,78.0,2.6,1204.2
2015-09-05 21:00:00,1,21.1,76.2,1.9,1211.04
2015-09-05 22:00:00,1,21.0,76.0,2.7,1174.32
2015-09-05 23:00:00,1,20.9,74.4,3.2,1087.2
2015-09-06 00:00:00,1,20.7,76.0,2.8,1035.72
2015-09-06 01:00:00,1,20.6,74.3,2.3,944.64
2015-09-06 02:00:00,1,20.6,75.1,2.8,860.76
