Date,Holi,Temp,Humi,WS,Consumption
2015-03-01 00:00:00,1,2.2,69.0,2.9,1297.8
2015-03-01 01:00:00,1,2.9,65.0,2.4,1263.6
2015-03-01 02:00:00,1,4.0,62.0,1.8,1242.72
2015-03-01 03:00:00,1,3.8,67.0,2.8,1249.56
2015-03-01 04:00:00,1,4.2,54.0,4.5,1243.8
2015-03-01 05:00:00,1,5.1,54.0,2.1,1248.84
2015-03-01 06:00:00,1,5.8,51.0,3.6,1249.2
2015-03-01 07:00:00,1,4.8,56.0,2.7,1292.04
2015-03-01 08:00:00,1,4.9,57.0,2.1,1302.12
2015-03-01 09:00:00,1,4.8,55.0,2.1,1290.24
2015-03-01 10:00:00,1,4.4,53.0,2.0,1325.52
2015-03-01 11:00:00,1,3.9,56.0,2.3,1386.72
2015-03-01 12:00:00,1,3.5,54.0,3.2,1387.08
2015-03-01 13:00:00,1,3.0,49.0,3.2,1451.52
2015-03-01 14:00:00,1,2.7,51.0,1.3,1522.8
2015-03-01 15:00:00,1,2.4,48.0,1.7,1632.6
2015-03-01 16:00:00,1,2.2,50.0,0.6,1760.76
2015-03-01 17:00:00,1,2.3,51.0,0.0,1641.6
2015-03-01 18:00:00,1,1.1,57.0,1.5,1603.44
2015-03-01 19:00:00,1,1.0,61.0,0.3,1564.92
2015-03-01 20:00:00,1,0.5,64.0,1.2,1560.6
2015-03-01 21:00:00,1,0.1,66.0,1.2,1511.64
2015-03-01 22:00:00,1,-0.6,70.0,1.7,1444.32
2015-03-01 23:00:00,1,-0.2,72.0,1.6,1447.92
2015-03-02 00:00:00,0,1.5,68.0,1.9,1394.64
2015-03-02 01:00:00,0,3.7,64.0,1.5,1378.8
2015-03-02 02:00:00,0,5.7,56.0,1.3,1362.96
2015-03-02 03:00:00,0,7.0,45.0,2.8,1352.88
2015-03-02 04:00:00,0,7.3,41.0,2.2,1346.4
2015-03-02 05:00:00,0,8.9,35.0,1.8,1409.04
2015-03-02 06:00:00,0,9.1,33.0,1.5,1497.24
2015-03-02 07:00:00,0,9.3,41.0,1.4,1683.36
